frame,nose_x,nose_y,nose_z,nose_v,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_v,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_v,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_v,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_v,left_index_x,left_index_y,left_index_z,left_index_v,right_index_x,right_index_y,right_index_z,right_index_v,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_v,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v,left_heel_x,left_heel_y,left_heel_z,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_v,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_v,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_v
0,0.27426254749298096,0.7417095899581909,-0.33176976442337036,0.9996353387832642,0.28141990303993225,0.7371464371681213,-0.3329313099384308,0.9991100430488586,0.28427714109420776,0.7386394739151001,-0.33298131823539734,0.9988839030265808,0.28698718547821045,0.7395133376121521,-0.33310607075691223,0.9991986155509949,0.27457550168037415,0.7304326295852661,-0.33360329270362854,0.9991999268531799,0.27306094765663147,0.7277678847312927,-0.3336699604988098,0.9989528656005859,0.27187928557395935,0.7251088619232178,-0.3337027430534363,0.999230146408081,0.2940388023853302,0.7372974157333374,-0.2791447341442108,0.9989436268806458,0.27259355783462524,0.718842625617981,-0.27938416600227356,0.9992457628250122,0.27660542726516724,0.7501446008682251,-0.3054046034812927,0.9995965361595154,0.2690528929233551,0.7446728348731995,-0.30537155270576477,0.9996737241744995,0.2974514365196228,0.7786679863929749,-0.18892011046409607,0.9999127388000488,0.24474982917308807,0.7193340063095093,-0.2250916063785553,0.9999485015869141,0.2869596779346466,0.8488339185714722,-0.17771734297275543,0.9646228551864624,0.20866376161575317,0.7707164287567139,-0.21617534756660461,0.9564431309700012,0.28896185755729675,0.9222433567047119,-0.23592518270015717,0.8398367166519165,0.18735378980636597,0.82505202293396,-0.2578679323196411,0.8467229604721069,0.2960684597492218,0.9321354627609253,-0.2560041546821594,0.7332324385643005,0.18065232038497925,0.8389368653297424,-0.27854377031326294,0.7341620922088623,0.29483067989349365,0.9331658482551575,-0.2751202881336212,0.772667646408081,0.18673337996006012,0.8410570025444031,-0.2920706570148468,0.7459923624992371,0.29117363691329956,0.9310739040374756,-0.2457425743341446,0.7499284148216248,0.19038675725460052,0.8371821045875549,-0.2637322247028351,0.7324821949005127,0.2262394279241562,0.8207468390464783,0.014100879430770874,0.9812452793121338,0.20913220942020416,0.7939435243606567,-0.01399846188724041,0.9970830082893372,0.17280735075473785,0.8539395928382874,0.0813639685511589,0.23515109717845917,0.17030270397663116,0.8555771708488464,0.0014047164004296064,0.7323179244995117,0.1332176923751831,0.8800517320632935,0.18585582077503204,0.2405163198709488,0.12190491706132889,0.8926957845687866,0.08701933175325394,0.7131342887878418,0.1256132423877716,0.8804184794425964,0.19358141720294952,0.2148151695728302,0.11238734424114227,0.8944170475006104,0.0935303270816803,0.5224989056587219,0.12697474658489227,0.9053810834884644,0.1479630321264267,0.2843065857887268,0.11425034701824188,0.9117208123207092,0.03717454522848129,0.6499165296554565
1,0.2744787335395813,0.7371644973754883,-0.3139573335647583,0.999648928642273,0.2815951704978943,0.732845664024353,-0.31830498576164246,0.9991329908370972,0.28451046347618103,0.7348002791404724,-0.3183375298976898,0.9989318251609802,0.2873707413673401,0.736303985118866,-0.3184470534324646,0.999222993850708,0.2751353085041046,0.7260258793830872,-0.3141743242740631,0.9992113709449768,0.2738467752933502,0.7237405776977539,-0.3142138719558716,0.9989698529243469,0.2727740406990051,0.7212873697280884,-0.31421688199043274,0.9992207288742065,0.29515981674194336,0.735349714756012,-0.2737515866756439,0.9989898800849915,0.2751913070678711,0.7152947187423706,-0.25314661860466003,0.9992258548736572,0.27675214409828186,0.7485939264297485,-0.2904426157474518,0.9996036887168884,0.2693871259689331,0.7405479550361633,-0.2844157814979553,0.9996669888496399,0.2976173758506775,0.7817249894142151,-0.1939171701669693,0.9999170899391174,0.24819520115852356,0.7164688110351562,-0.18378691375255585,0.9999484419822693,0.2871532440185547,0.8493947386741638,-0.17764049768447876,0.9669156074523926,0.20941439270973206,0.7618380188941956,-0.1532025784254074,0.9561481475830078,0.28896257281303406,0.9221685528755188,-0.23169367015361786,0.8475618362426758,0.18875497579574585,0.8101485967636108,-0.1972484439611435,0.8506087064743042,0.296015202999115,0.9319419264793396,-0.2518726587295532,0.7455828189849854,0.18219473958015442,0.8239620923995972,-0.21293994784355164,0.7411507964134216,0.2948325574398041,0.9330229759216309,-0.26969853043556213,0.7836104035377502,0.1894143670797348,0.8250138759613037,-0.2272944301366806,0.7528786659240723,0.2911692261695862,0.9309207201004028,-0.24042658507823944,0.7628059387207031,0.19279791414737701,0.8212405443191528,-0.20310309529304504,0.7376442551612854,0.22242425382137299,0.8265049457550049,-0.005154997110366821,0.9825014472007751,0.2046002894639969,0.7988919615745544,0.005175427068024874,0.9970247149467468,0.16619905829429626,0.85393887758255,0.07356860488653183,0.2516864538192749,0.16403479874134064,0.8537902235984802,0.09972548484802246,0.7320612668991089,0.12918566167354584,0.8807646036148071,0.18688568472862244,0.26624590158462524,0.12187577784061432,0.8932545185089111,0.23198331892490387,0.7091953158378601,0.12312916666269302,0.883820116519928,0.1960812211036682,0.23753206431865692,0.11460243910551071,0.898252546787262,0.24409539997577667,0.5244760513305664,0.11614522337913513,0.8973097801208496,0.1494506448507309,0.30929744243621826,0.10753460973501205,0.9117575883865356,0.19863872230052948,0.6505335569381714
2,0.2761169970035553,0.7342468500137329,-0.31576618552207947,0.9995378851890564,0.2830006182193756,0.7297389507293701,-0.32336023449897766,0.9989737272262573,0.2859252393245697,0.7316962480545044,-0.32343196868896484,0.9988084435462952,0.28910455107688904,0.73334139585495,-0.3236068785190582,0.999135434627533,0.27731698751449585,0.7236934304237366,-0.31987157464027405,0.9989351630210876,0.2762359082698822,0.7216253280639648,-0.31994178891181946,0.9985554218292236,0.2753547728061676,0.7194541692733765,-0.3199711740016937,0.9987902045249939,0.2973580062389374,0.733018159866333,-0.28308334946632385,0.9989001154899597,0.27843335270881653,0.713368833065033,-0.2598456144332886,0.9986648559570312,0.2780309319496155,0.7457370162010193,-0.2943095564842224,0.9994797110557556,0.2717861831188202,0.7369780540466309,-0.2913731038570404,0.9994099736213684,0.29827606678009033,0.7827441692352295,-0.2128458023071289,0.9999205470085144,0.2515431344509125,0.7117524743080139,-0.1828135848045349,0.9999247193336487,0.2872203588485718,0.8494049906730652,-0.19836629927158356,0.9691028594970703,0.21012654900550842,0.7526035904884338,-0.14145861566066742,0.9505177140235901,0.2888018488883972,0.9221480488777161,-0.2527075707912445,0.8537145853042603,0.19485974311828613,0.7962697148323059,-0.18569707870483398,0.8426727056503296,0.29591619968414307,0.9315156936645508,-0.2749451994895935,0.7551419138908386,0.1873161792755127,0.8102055788040161,-0.20167098939418793,0.7333627939224243,0.29488906264305115,0.9325884580612183,-0.29333359003067017,0.792102038860321,0.19522617757320404,0.8113282322883606,-0.21630074083805084,0.745835542678833,0.2911517918109894,0.9306368231773376,-0.26166877150535583,0.7728433012962341,0.19873403012752533,0.8074089884757996,-0.19177643954753876,0.7271456122398376,0.21969102323055267,0.8284019231796265,-0.01565241999924183,0.9839344620704651,0.20185835659503937,0.7980250120162964,0.015735190361738205,0.9967361092567444,0.16131344437599182,0.856303334236145,0.06354061514139175,0.2610477805137634,0.16379500925540924,0.8472639918327332,0.14263029396533966,0.704974353313446,0.11550195515155792,0.8889011144638062,0.18068329989910126,0.28410306572914124,0.1260511726140976,0.8888953924179077,0.30172380805015564,0.6701237559318542,0.10940799862146378,0.8861663937568665,0.1905299723148346,0.25195351243019104,0.1229637935757637,0.8963043093681335,0.3170797526836395,0.503203809261322,0.09867826849222183,0.8937737941741943,0.13569407165050507,0.3205247223377228,0.10863782465457916,0.9053534865379333,0.27360421419143677,0.623263955116272
3,0.2793835699558258,0.7329394221305847,-0.31918901205062866,0.9995496273040771,0.2869267165660858,0.728045642375946,-0.3235100209712982,0.9990320205688477,0.2901015281677246,0.7300772070884705,-0.32355424761772156,0.9988853335380554,0.2935584485530853,0.731753945350647,-0.3237224221229553,0.9991864562034607,0.28088271617889404,0.7218600511550903,-0.320156991481781,0.9989771246910095,0.27966123819351196,0.7196418642997742,-0.32017648220062256,0.9986081719398499,0.27873799204826355,0.717466413974762,-0.3202079236507416,0.998818039894104,0.3016214966773987,0.731925368309021,-0.2743561565876007,0.9989826679229736,0.28111791610717773,0.7107557654380798,-0.25489601492881775,0.9987512230873108,0.28077900409698486,0.7443317174911499,-0.2945308983325958,0.9995145797729492,0.27479812502861023,0.7355979084968567,-0.29031118750572205,0.9994416236877441,0.29938140511512756,0.7831442952156067,-0.20555353164672852,0.9999257922172546,0.25680699944496155,0.7078385353088379,-0.17040951550006866,0.9999207854270935,0.28746289014816284,0.8491713404655457,-0.19146429002285004,0.9717110395431519,0.2151363492012024,0.7392803430557251,-0.10994601249694824,0.9386991262435913,0.2884053587913513,0.9219687581062317,-0.24996326863765717,0.8634849786758423,0.20697841048240662,0.7722039222717285,-0.1356332153081894,0.8331642150878906,0.29535073041915894,0.9313302636146545,-0.26982027292251587,0.7702799439430237,0.1996328979730606,0.7868136763572693,-0.14392542839050293,0.7277524471282959,0.29489246010780334,0.932341992855072,-0.28971943259239197,0.805209755897522,0.2072577029466629,0.7866524457931519,-0.1569867730140686,0.7407993674278259,0.29113245010375977,0.9302355647087097,-0.25963130593299866,0.7882707715034485,0.21073445677757263,0.7829017639160156,-0.14000406861305237,0.7201401591300964,0.21754546463489532,0.8275198936462402,-0.02123880945146084,0.9854413270950317,0.2005278766155243,0.7935982346534729,0.0213790163397789,0.9967101216316223,0.15886464715003967,0.8584650754928589,0.04516339302062988,0.33190062642097473,0.1641656905412674,0.8392331600189209,0.15682628750801086,0.7056393027305603,0.1086028441786766,0.8909446597099304,0.14010390639305115,0.3459686040878296,0.15052130818367004,0.8730552792549133,0.34334760904312134,0.650783896446228,0.10453037172555923,0.8939306735992432,0.1474035233259201,0.30910012125968933,0.15289193391799927,0.8796553611755371,0.3614157736301422,0.5077215433120728,0.08277513086795807,0.894608199596405,0.08350295573472977,0.3678368926048279,0.12765881419181824,0.8870887756347656,0.3260510563850403,0.6157490015029907
4,0.2822853922843933,0.7267017960548401,-0.2816776931285858,0.9995584487915039,0.29047301411628723,0.7221141457557678,-0.2845074236392975,0.9990723133087158,0.29372233152389526,0.7241973876953125,-0.284530371427536,0.9989436864852905,0.2972058951854706,0.726104736328125,-0.28468579053878784,0.9992160201072693,0.28472766280174255,0.7159700393676758,-0.27948278188705444,0.9990013837814331,0.28379979729652405,0.7139133214950562,-0.2794738709926605,0.9986545443534851,0.28300195932388306,0.7114585638046265,-0.2795143127441406,0.9988378286361694,0.3053196966648102,0.7282040119171143,-0.23372802138328552,0.9990543723106384,0.28548097610473633,0.7065897583961487,-0.2091320902109146,0.99880051612854,0.2834296226501465,0.7389474511146545,-0.25678980350494385,0.9995428323745728,0.2778364419937134,0.7304474711418152,-0.24996638298034668,0.9994637966156006,0.3004355728626251,0.783552885055542,-0.16910295188426971,0.9999248385429382,0.2618594169616699,0.7044299244880676,-0.1400594562292099,0.9998992085456848,0.28790482878685,0.8491783142089844,-0.14698371291160583,0.973716139793396,0.21797163784503937,0.7292340397834778,-0.15560579299926758,0.9348633289337158,0.28814420104026794,0.9222191572189331,-0.1936802864074707,0.8721004128456116,0.218431755900383,0.7489909529685974,-0.28528234362602234,0.8406908512115479,0.2943888306617737,0.9313629865646362,-0.20895756781101227,0.7837449908256531,0.21687932312488556,0.7574120163917542,-0.3079604208469391,0.7423619627952576,0.29474493861198425,0.9323473572731018,-0.22880665957927704,0.8167365193367004,0.22362494468688965,0.7533288598060608,-0.31342366337776184,0.7544043064117432,0.2911018431186676,0.9302392601966858,-0.20237258076667786,0.8021525740623474,0.22528941929340363,0.7515552043914795,-0.28963997960090637,0.7323182225227356,0.21519477665424347,0.8274897336959839,-0.01996671035885811,0.9867671132087708,0.1984739452600479,0.79229336977005,0.020046385005116463,0.9966679215431213,0.1553211361169815,0.8603714108467102,0.03907893970608711,0.39576858282089233,0.15741634368896484,0.839633584022522,0.14331525564193726,0.7106621861457825,0.10362289100885391,0.8957101702690125,0.13891856372356415,0.3974361717700958,0.14068670570850372,0.8722422122955322,0.3099521994590759,0.6399431824684143,0.0998377725481987,0.9007556438446045,0.14660882949829102,0.3567715883255005,0.1397121101617813,0.8792610764503479,0.32631316781044006,0.5073443651199341,0.07500895112752914,0.8987820744514465,0.0878218561410904,0.4063229262828827,0.122794970870018,0.8839879631996155,0.29124656319618225,0.6117710471153259
5,0.28473588824272156,0.721342146396637,-0.2605428993701935,0.9995865821838379,0.29245251417160034,0.7171018123626709,-0.26378628611564636,0.9991374015808105,0.29542484879493713,0.7193146347999573,-0.26381757855415344,0.9990251064300537,0.298765629529953,0.7213875651359558,-0.2639630138874054,0.999267578125,0.28751930594444275,0.7113773822784424,-0.2578609883785248,0.999060332775116,0.28675273060798645,0.7094457745552063,-0.25786441564559937,0.9987435340881348,0.28602543473243713,0.7069928050041199,-0.2578846216201782,0.9988998770713806,0.3078133165836334,0.725176215171814,-0.21465352177619934,0.9991374611854553,0.28942692279815674,0.7045456171035767,-0.18518655002117157,0.9988589882850647,0.2857683300971985,0.73348069190979,-0.23598212003707886,0.9995783567428589,0.2805840075016022,0.72566819190979,-0.2276650369167328,0.999492347240448,0.30310484766960144,0.7833462357521057,-0.14533820748329163,0.9999291896820068,0.2672227919101715,0.702436089515686,-0.12406753748655319,0.9998759031295776,0.28857341408729553,0.8488962650299072,-0.11588714271783829,0.9758208394050598,0.22119611501693726,0.7229447960853577,-0.18247365951538086,0.9353413581848145,0.2878475785255432,0.9222036600112915,-0.15533438324928284,0.8815591335296631,0.22786538302898407,0.7295020818710327,-0.3431411385536194,0.8518927693367004,0.2937627136707306,0.9312266111373901,-0.16594727337360382,0.7978206276893616,0.22848258912563324,0.7359402775764465,-0.37069857120513916,0.760287880897522,0.29465338587760925,0.9321772456169128,-0.1862410604953766,0.8290084004402161,0.23514556884765625,0.7334585189819336,-0.3723602294921875,0.7711896896362305,0.291082501411438,0.9300439357757568,-0.16362404823303223,0.8163305521011353,0.23593610525131226,0.7331476807594299,-0.34708473086357117,0.7487713098526001,0.21562117338180542,0.8272560834884644,-0.019886784255504608,0.9879913330078125,0.19869400560855865,0.7893110513687134,0.019894467666745186,0.9966199398040771,0.1544722020626068,0.8608587384223938,0.017985668033361435,0.437084436416626,0.14863985776901245,0.8357214331626892,0.11342957615852356,0.6945371031761169,0.10578668862581253,0.8975535035133362,0.12007979303598404,0.4203470051288605,0.12230557948350906,0.8735363483428955,0.25769078731536865,0.6073898673057556,0.10131751745939255,0.9055320620536804,0.12782739102840424,0.3733384311199188,0.12170141190290451,0.8817512392997742,0.27184197306632996,0.48234519362449646,0.07700904458761215,0.8974229693412781,0.06856325268745422,0.42164283990859985,0.09721259027719498,0.882450520992279,0.2303454726934433,0.5856999754905701
6,0.28835245966911316,0.7130168676376343,-0.23859216272830963,0.9996190667152405,0.2960367202758789,0.7091494798660278,-0.24420814216136932,0.9992135763168335,0.29864999651908875,0.7111524939537048,-0.2442309707403183,0.9991140961647034,0.30145204067230225,0.713135302066803,-0.24436616897583008,0.9993316531181335,0.29186078906059265,0.704413890838623,-0.23473909497261047,0.9991356134414673,0.2911272644996643,0.7027202248573303,-0.2347562462091446,0.9988471865653992,0.29055628180503845,0.7009965777397156,-0.2347678691148758,0.9989869594573975,0.31050989031791687,0.7201124429702759,-0.20794658362865448,0.9992186427116394,0.29522690176963806,0.7018747329711914,-0.1620781421661377,0.9989422559738159,0.28959718346595764,0.7250175476074219,-0.21948251128196716,0.999616801738739,0.28456830978393555,0.7183830142021179,-0.20626536011695862,0.9995303750038147,0.3041953444480896,0.7832790613174438,-0.14777925610542297,0.9999323487281799,0.2714608609676361,0.7015066146850586,-0.10689406841993332,0.9998088479042053,0.2890407145023346,0.8488960266113281,-0.1401539295911789,0.9776207804679871,0.22388161718845367,0.7177150249481201,-0.18474476039409637,0.9356917142868042,0.2878127694129944,0.9220637679100037,-0.18411201238632202,0.8889025449752808,0.23937579989433289,0.7185875773429871,-0.34617599844932556,0.8608081340789795,0.2937573790550232,0.9312294721603394,-0.19393578171730042,0.808775782585144,0.24742335081100464,0.7218819260597229,-0.3744344711303711,0.7738338112831116,0.29470017552375793,0.9321572184562683,-0.21395725011825562,0.8380921483039856,0.2538197934627533,0.7186447381973267,-0.3697872459888458,0.7832812070846558,0.2911636233329773,0.929954469203949,-0.19211994111537933,0.8270360827445984,0.25257202982902527,0.720121443271637,-0.3481277823448181,0.7601052522659302,0.21454931795597076,0.8269567489624023,-0.023069091141223907,0.989115297794342,0.1986611783504486,0.7866218686103821,0.023045238107442856,0.9964284300804138,0.15264292061328888,0.8619133830070496,-0.0009085594792850316,0.4892202317714691,0.14177463948726654,0.824643611907959,0.0992349311709404,0.7081891298294067,0.10537517070770264,0.898955225944519,0.11076419800519943,0.47116103768348694,0.1564408838748932,0.856627881526947,0.27475133538246155,0.5705647468566895,0.10031364113092422,0.9071171879768372,0.11975662410259247,0.407642126083374,0.16370150446891785,0.8623345494270325,0.29683706164360046,0.461323618888855,0.07435635477304459,0.8998824954032898,0.06619902700185776,0.4663628935813904,0.13729403913021088,0.8729920387268066,0.2912687361240387,0.5574358701705933
7,0.2895384132862091,0.710375964641571,-0.18071326613426208,0.9996434450149536,0.29721638560295105,0.7062255144119263,-0.18654057383537292,0.9992799162864685,0.2995193898677826,0.7079443335533142,-0.1865512728691101,0.9991932511329651,0.3021932542324066,0.7097368836402893,-0.18665942549705505,0.9993894100189209,0.2935686707496643,0.7013651728630066,-0.17654845118522644,0.9991875886917114,0.2931002378463745,0.6997904181480408,-0.1765422821044922,0.9989169836044312,0.29274460673332214,0.6980911493301392,-0.17652244865894318,0.9990411996841431,0.3118220865726471,0.7173465490341187,-0.15970401465892792,0.9992917776107788,0.2980283200740814,0.6997296810150146,-0.11063573509454727,0.9989727139472961,0.2907716631889343,0.7215105891227722,-0.16538606584072113,0.999650239944458,0.28623324632644653,0.7152767777442932,-0.1513398289680481,0.9995496869087219,0.3060714304447174,0.7817537784576416,-0.11978990584611893,0.9999371767044067,0.2739720344543457,0.6999796628952026,-0.06114266440272331,0.9995920658111572,0.28981122374534607,0.8488380312919617,-0.12836743891239166,0.9793204665184021,0.2288341522216797,0.7126905918121338,-0.13455964624881744,0.9205105900764465,0.28772610425949097,0.9210855960845947,-0.16513806581497192,0.8948042392730713,0.2546112537384033,0.7120541334152222,-0.3108798563480377,0.8410639762878418,0.2932528853416443,0.9313583970069885,-0.16990883648395538,0.817238986492157,0.2656400501728058,0.7162194848060608,-0.33908429741859436,0.7499377131462097,0.2944353520870209,0.9321590662002563,-0.1866348832845688,0.8449463248252869,0.2689949870109558,0.7129199504852295,-0.29327505826950073,0.7571955323219299,0.29106438159942627,0.9296515583992004,-0.17123118042945862,0.8352248072624207,0.267921507358551,0.7154390215873718,-0.2949029803276062,0.7323787808418274,0.21516457200050354,0.8252276182174683,-0.02895129658281803,0.9901425838470459,0.19935519993305206,0.7841901183128357,0.028915127739310265,0.9963598847389221,0.1528085172176361,0.8516073226928711,-0.054491475224494934,0.5389519929885864,0.1389736384153366,0.8201087713241577,-0.009234877303242683,0.7334198355674744,0.10809419304132462,0.8967132568359375,0.07527754455804825,0.5219486355781555,0.17122893035411835,0.8632969260215759,0.16781017184257507,0.5822221040725708,0.11320491135120392,0.9028580784797668,0.08703532069921494,0.4470696747303009,0.1839832365512848,0.866014838218689,0.18915683031082153,0.4809509217739105,0.07990042865276337,0.8997879028320312,0.048262059688568115,0.5140058398246765,0.15119150280952454,0.8768544793128967,0.2283060997724533,0.5683736205101013
8,0.29148516058921814,0.7083780169487,-0.16128875315189362,0.9996759295463562,0.29945841431617737,0.7040334939956665,-0.16536664962768555,0.9993492960929871,0.3017386198043823,0.705616295337677,-0.16536498069763184,0.9992717504501343,0.30446210503578186,0.7074242234230042,-0.1654733568429947,0.9994481801986694,0.29557666182518005,0.6992716193199158,-0.1550932377576828,0.9992613792419434,0.2950216233730316,0.6977898478507996,-0.15508179366588593,0.999015748500824,0.29451969265937805,0.6961442828178406,-0.15505027770996094,0.9991275072097778,0.3139680027961731,0.7156643271446228,-0.13499648869037628,0.9993616342544556,0.3003620505332947,0.6989296078681946,-0.08369755744934082,0.9990634322166443,0.29253849387168884,0.7195468544960022,-0.1452605128288269,0.9996840953826904,0.2878379821777344,0.714119553565979,-0.13065961003303528,0.9995883107185364,0.30727139115333557,0.781574010848999,-0.09659917652606964,0.9999423027038574,0.27738139033317566,0.7003277540206909,-0.03748563677072525,0.999545156955719,0.2902858555316925,0.8488364219665527,-0.10036449879407883,0.9809265732765198,0.23513366281986237,0.7088945508003235,-0.12085730582475662,0.9178294539451599,0.2877185046672821,0.9189671277999878,-0.13345035910606384,0.9003635048866272,0.2669665217399597,0.704302191734314,-0.2973141074180603,0.8426163196563721,0.29301369190216064,0.9313572645187378,-0.13677658140659332,0.8246704936027527,0.2798539698123932,0.7036058902740479,-0.3297005891799927,0.7502261400222778,0.2942354381084442,0.9320635199546814,-0.15303979814052582,0.8510937094688416,0.2824016809463501,0.7026833295822144,-0.28180041909217834,0.7551208734512329,0.29098793864250183,0.9289076328277588,-0.1394469439983368,0.8429854512214661,0.2800663709640503,0.7057265639305115,-0.278449684381485,0.7296011447906494,0.21503563225269318,0.8246735334396362,-0.03344764932990074,0.9910991787910461,0.19949021935462952,0.7826727032661438,0.033404674381017685,0.9965621829032898,0.1482519805431366,0.8505248427391052,-0.09828802943229675,0.5838552713394165,0.13710007071495056,0.8042179346084595,-0.00589787820354104,0.7565047144889832,0.12483667582273483,0.8956642150878906,0.050661321729421616,0.5649404525756836,0.17328493297100067,0.8587216138839722,0.14970599114894867,0.5889033675193787,0.13314960896968842,0.90290766954422,0.06600295752286911,0.47644126415252686,0.18198131024837494,0.8641482591629028,0.1686968207359314,0.4954025447368622,0.08423108607530594,0.9039731621742249,0.04642026126384735,0.551118016242981,0.1502150595188141,0.8801478743553162,0.19105389714241028,0.5702939033508301
9,0.2937816381454468,0.7054749131202698,-0.11538159102201462,0.9997060298919678,0.301657110452652,0.7009256482124329,-0.12031240016222,0.9994113445281982,0.3039604723453522,0.7023946642875671,-0.12029507011175156,0.9993419051170349,0.30648472905158997,0.7039033770561218,-0.12035615742206573,0.9995003342628479,0.2980807423591614,0.6968569159507751,-0.10863657295703888,0.9993286728858948,0.297647088766098,0.6955476999282837,-0.10863760113716125,0.999106764793396,0.2972821593284607,0.6942465901374817,-0.10862842947244644,0.9992082715034485,0.31567469239234924,0.7125617861747742,-0.09677734225988388,0.9994235634803772,0.3037700653076172,0.6985065937042236,-0.03981061652302742,0.9991491436958313,0.2948035001754761,0.7171833515167236,-0.10236255079507828,0.999714732170105,0.2902384400367737,0.7121555805206299,-0.08605454117059708,0.9996256232261658,0.30872854590415955,0.7806606888771057,-0.05885457992553711,0.9999470114707947,0.2809986174106598,0.7013542056083679,-0.006503529846668243,0.9995675086975098,0.29105430841445923,0.8465479612350464,-0.06507080048322678,0.9824157357215881,0.23982305824756622,0.70655357837677,-0.09688105434179306,0.9227201342582703,0.2877238094806671,0.9166327714920044,-0.10732162743806839,0.9084583520889282,0.2694520056247711,0.6978650689125061,-0.2646259367465973,0.8560273051261902,0.2930559515953064,0.929431676864624,-0.11128216236829758,0.8381136655807495,0.2807365953922272,0.6982043385505676,-0.30114489793777466,0.7702022790908813,0.29418930411338806,0.9304279088973999,-0.12840647995471954,0.8624001741409302,0.28502702713012695,0.6981787085533142,-0.27366703748703003,0.7742012143135071,0.2909863293170929,0.9271777868270874,-0.11400340497493744,0.855034589767456,0.28320086002349854,0.7002342939376831,-0.2602105438709259,0.7498558759689331,0.21449105441570282,0.8244199156761169,-0.032102394849061966,0.9919576644897461,0.1991405040025711,0.7825934290885925,0.032056134194135666,0.996727466583252,0.14716051518917084,0.8508959412574768,-0.09821384400129318,0.6248554587364197,0.13495448231697083,0.7944279313087463,-0.02365894988179207,0.779222309589386,0.11921033263206482,0.8959839940071106,0.012412982061505318,0.6074017286300659,0.16803903877735138,0.8607101440429688,0.1316915601491928,0.6110373735427856,0.11330188810825348,0.9044480919837952,0.02289196103811264,0.5177927613258362,0.18075892329216003,0.8622831702232361,0.1502581089735031,0.5235369205474854,0.07793043553829193,0.9064109921455383,-0.011901344172656536,0.5932187438011169,0.15090711414813995,0.8839393854141235,0.15960195660591125,0.5908316373825073
