t,frame,x_px,y_px,z,v
0.0,0,566.0749053955078,1343.7588214874268,-0.2751202881336212,0.772667646408081
0.03333719135802469,1,566.0785102844238,1343.5530853271484,-0.26969853043556213,0.7836104035377502
0.06667438271604938,2,566.1870002746582,1342.9273796081543,-0.29333359003067017,0.792102038860321
0.10001157407407407,3,566.1935234069824,1342.5724697113037,-0.28971943259239197,0.805209755897522
0.13334876543209875,4,565.9102821350098,1342.5801944732666,-0.22880665957927704,0.8167365193367004
0.16668595679012346,5,565.7345008850098,1342.3352336883545,-0.1862410604953766,0.8290084004402161
0.20002314814814814,6,565.8243370056152,1342.3063945770264,-0.21395725011825562,0.8380921483039856
0.23336033950617285,7,565.3158760070801,1342.3090553283691,-0.1866348832845688,0.8449463248252869
0.2666975308641975,8,564.9320411682129,1342.1714687347412,-0.15303979814052582,0.8510937094688416
0.3000347222222222,9,564.8434638977051,1339.8161888122559,-0.12840647995471954,0.8624001741409302
0.3333719135802469,10,564.8391151428223,1337.460823059082,-0.12208367139101028,0.8725461959838867
0.36670910493827164,11,565.5924797058105,1336.2367916107178,-0.11002598702907562,0.8800377249717712
0.4000462962962963,12,566.0760498046875,1336.2827110290527,-0.09778282791376114,0.8851556777954102
0.433383487654321,13,566.0613441467285,1335.589714050293,-0.0819476991891861,0.8895909190177917
0.4667206790123457,14,566.4197158813477,1334.0942001342773,-0.07645406574010849,0.8924002051353455
0.5000578703703704,15,566.1353302001953,1332.7088928222656,-0.05243415758013725,0.8975344896316528
0.533395061728395,16,566.3169479370117,1330.9321117401123,-0.0705842599272728,0.9001177549362183
0.5667322530864197,17,566.3164329528809,1327.9885482788086,-0.07675640285015106,0.9031109809875488
0.6000694444444444,18,567.1956253051758,1326.5153503417969,-0.037587422877550125,0.9014921188354492
0.6334066358024691,19,569.2236328125,1325.1575088500977,-0.04403620958328247,0.8993657827377319
0.6667438271604939,20,571.933422088623,1324.2711353302002,-0.05688256025314331,0.8976636528968811
0.7000810185185186,21,574.4900321960449,1323.7843036651611,-0.07334275543689728,0.8965292572975159
0.7334182098765433,22,575.5875205993652,1320.058822631836,-0.09161937236785889,0.8986472487449646
0.7667554012345679,23,577.7142333984375,1318.2375812530518,-0.10947311669588089,0.9001603722572327
0.8000925925925926,24,581.0162544250488,1315.2742767333984,-0.11489038914442062,0.8986022472381592
0.8334297839506173,25,584.1557693481445,1311.712646484375,-0.1488947868347168,0.9020501971244812
0.866766975308642,26,584.9923324584961,1309.6352863311768,-0.13675330579280853,0.9016225934028625
0.9001041666666667,27,585.5034828186035,1308.0146312713623,-0.14157997071743011,0.8968692421913147
0.9334413580246914,28,586.2574195861816,1304.0383529663086,-0.13676311075687408,0.8972941040992737
0.966778549382716,29,590.9745025634766,1301.1712646484375,-0.18797758221626282,0.8928748369216919
1.0001157407407408,30,603.5331916809082,1294.6555137634277,-0.06683521717786789,0.8929409980773926
1.0334529320987655,31,641.7508506774902,1293.78098487854,-0.06298458576202393,0.8934593200683594
1.06679012345679,32,663.889217376709,1269.642562866211,-0.03879952058196068,0.8967022895812988
1.1001273148148147,33,669.0765380859375,1227.5801181793213,-0.055264778435230255,0.8939486742019653
1.1334645061728394,34,675.3998565673828,1196.5530967712402,-0.06511469930410385,0.8199189901351929
1.1668016975308642,35,610.140323638916,1166.3987159729004,-0.03721766173839569,0.7536898255348206
1.2001388888888889,36,568.9037132263184,1201.6733264923096,-0.04213869199156761,0.6894986629486084
1.2334760802469136,37,481.1285591125488,1058.1415843963623,0.03864499181509018,0.6349595785140991
1.2668132716049383,38,409.62950706481934,992.0135879516602,-0.14939989149570465,0.6246556043624878
1.300150462962963,39,347.230224609375,1001.7267894744873,-0.25111696124076843,0.6266222596168518
1.3334876543209877,40,300.7824897766113,1033.6895370483398,-0.28726232051849365,0.6455613374710083
1.3668248456790124,41,303.3863353729248,1078.3037281036377,-0.265759140253067,0.6385694742202759
1.4001620370370371,42,294.0462398529053,1134.4020652770996,-0.19503894448280334,0.653123140335083
1.4334992283950618,43,314.82579231262207,1186.0185813903809,-0.2292131930589676,0.6775913238525391
1.4668364197530865,44,344.7286605834961,1227.6612281799316,-0.23688872158527374,0.7026507258415222
1.500173611111111,45,376.6230297088623,1257.4836158752441,-0.27179086208343506,0.7288369536399841
1.5335108024691357,46,404.8819828033447,1267.935562133789,-0.2828597128391266,0.7539241313934326
1.5668479938271604,47,416.71411514282227,1273.0196571350098,-0.2873723804950714,0.7776342630386353
1.6001851851851852,48,421.6868591308594,1279.2245292663574,-0.28088346123695374,0.7990078926086426
1.6335223765432099,49,422.3635196685791,1281.1188983917236,-0.2809520661830902,0.8169957995414734
1.6668595679012346,50,426.0556125640869,1279.5953178405762,-0.27237409353256226,0.8297062516212463
1.7001967592592593,51,431.91593170166016,1277.2801208496094,-0.19886749982833862,0.8370456695556641
1.733533950617284,52,435.8365058898926,1275.4399108886719,-0.20645718276500702,0.842509388923645
1.7668711419753087,53,438.57739448547363,1277.8920078277588,-0.2770225703716278,0.8528113961219788
1.8002083333333334,54,444.3274211883545,1280.3750038146973,-0.2504846155643463,0.8568440079689026
1.8335455246913581,55,444.8214340209961,1274.883041381836,-0.24537542462348938,0.8632242679595947
1.8668827160493828,56,446.187686920166,1274.1267013549805,-0.3269886076450348,0.8747907876968384
1.9002199074074075,57,427.87353515625,1239.1186809539795,-0.4882287085056305,0.886751115322113
1.933557098765432,58,438.91980171203613,1243.7315654754639,-0.5142878890037537,0.8967152833938599
1.9668942901234567,59,447.2072410583496,1243.7683010101318,-0.5426972508430481,0.9058279395103455
