t,frame,x_px,y_px,z,v
4.200486111111111,126,569.1528511047363,1188.9072132110596,0.006174661219120026,0.999363124370575
4.233823302469136,127,564.8128509521484,1189.7158241271973,0.022115129977464676,0.9993952512741089
4.26716049382716,128,559.5907402038574,1195.492057800293,0.03822297975420952,0.9994480609893799
4.300497685185185,129,547.5643730163574,1198.3797454833984,0.046290092170238495,0.9994707703590393
4.33383487654321,130,528.1660079956055,1200.763521194458,0.05717279016971588,0.9994623064994812
4.367172067901235,131,520.2546501159668,1193.3361625671387,0.061213601380586624,0.9994856715202332
4.400509259259259,132,503.2343101501465,1205.2322101593018,0.07387794554233551,0.9995301961898804
4.433846450617284,133,490.00797271728516,1222.8626918792725,0.07056023925542831,0.9995652437210083
4.467183641975309,134,474.77477073669434,1240.154914855957,0.07719733566045761,0.999602198600769
4.500520833333334,135,465.93915939331055,1249.630880355835,0.06524788588285446,0.9996368288993835
4.533858024691358,136,464.78954315185547,1245.8891773223877,0.05291195213794708,0.9996470808982849
4.567195216049383,137,468.67701530456543,1246.2768745422363,0.024202728644013405,0.9995015859603882
4.600532407407408,138,470.5649471282959,1250.1683521270752,0.007983531802892685,0.9995236396789551
4.633869598765433,139,473.20770263671875,1254.3957710266113,-0.0005512895295396447,0.9995616674423218
4.667206790123457,140,478.72355461120605,1252.633409500122,-0.015739591792225838,0.9995495080947876
4.700543981481482,141,494.5041847229004,1254.49782371521,-0.042094968259334564,0.9995843172073364
4.7338811728395065,142,507.2544479370117,1259.8879051208496,-0.053173501044511795,0.9996153712272644
4.7672183641975305,143,509.56993103027344,1263.8585186004639,-0.058739565312862396,0.9996495842933655
4.8005555555555555,144,532.8200912475586,1268.5083961486816,-0.06748716533184052,0.9996801018714905
4.83389274691358,145,543.22265625,1268.4224796295166,-0.07137927412986755,0.999710202217102
4.867229938271605,146,547.1786499023438,1270.8585262298584,-0.06613723933696747,0.9997376799583435
4.900567129629629,147,540.765209197998,1270.9163761138916,-0.05728602036833763,0.999761700630188
4.933904320987654,148,545.1293563842773,1268.6346530914307,-0.06299247592687607,0.9997475147247314
4.967241512345679,149,547.1044921875,1267.6370429992676,-0.07321574538946152,0.9997296333312988
5.000578703703704,150,546.4940071105957,1266.584758758545,-0.0703732818365097,0.9997411370277405
5.033915895061728,151,546.4434814453125,1266.3885498046875,-0.06945686042308807,0.9997437000274658
5.067253086419753,152,546.6781997680664,1266.0085773468018,-0.0659683495759964,0.9997519254684448
